2a02:17d8:1000:9:0:0:0:100d - - [16/Aug/2017:11:33:19 +0100] "GET /chox.test/ HTTP/1.1" 200 1195 DA2B8B1196CFACDDEAC9C5DF44B8389B 691 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36" catalina-exec-6
5.188.10.250 - - [16/Aug/2017:11:33:29 +0100] "GET /login.action HTTP/1.1" 200 1235 88B06C1D0ED98EE81980E63EB7868852 669 "Mozilla/5.0" catalina-exec-12
5.188.10.250 - - [16/Aug/2017:11:33:57 +0100] "GET /login.action;jsessionid=291A5727931A9B4E2083680EFC2297CF HTTP/1.1" 200 1235 EF0E4992ED569ED36ED9683033D7D1CF 45 "Mozilla/5.0" catalina-exec-15
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:57 +0100] "GET /chox_java8/login.action HTTP/1.1" 200 3472 91A9F1AD6E5563F834E47F9005709AEE 391 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-3
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:57 +0100] "GET /chox_java8/css/login.css HTTP/1.1" 200 5167 91A9F1AD6E5563F834E47F9005709AEE 5 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-5
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:57 +0100] "GET /chox_java8/login.action HTTP/1.1" 200 3472 2995CE3B703D9A361413B4937DF3C1B1 18 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:57 +0100] "GET /chox_java8/css/login.css HTTP/1.1" 200 5167 2995CE3B703D9A361413B4937DF3C1B1 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-10
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:57 +0100] "GET /chox_java8/images/Valexa-Logo.gif HTTP/1.1" 200 13835 2995CE3B703D9A361413B4937DF3C1B1 6 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-11
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "GET /chox_java8/images/Valexa-Logo.gif HTTP/1.1" 200 13835 91A9F1AD6E5563F834E47F9005709AEE 4 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-14
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "GET /chox_java8/images/chox_logo_small.jpg HTTP/1.1" 200 29480 91A9F1AD6E5563F834E47F9005709AEE 5 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-15
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "GET /chox_java8/images/chox_logo_small.jpg HTTP/1.1" 200 29480 2995CE3B703D9A361413B4937DF3C1B1 6 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-16
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "POST /chox_java8/j_spring_security_check HTTP/1.1" 302 - D3EF6F9DBC16E3853B1759560604A3F3 203 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-18
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "POST /chox_java8/j_spring_security_check HTTP/1.1" 302 - 5620CA1DDEDD406098F9F4B19A42148A 209 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-17
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "GET /chox_java8/prv/inbox.action HTTP/1.1" 302 - 5620CA1DDEDD406098F9F4B19A42148A 214 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-19
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:58 +0100] "GET /chox_java8/prv/inbox.action HTTP/1.1" 302 - D3EF6F9DBC16E3853B1759560604A3F3 220 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:59 +0100] "GET /chox_java8/login.action HTTP/1.1" 200 3472 5821C5BD01D178DFDE4ED0528C24B7B0 14 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-7
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:59 +0100] "GET /chox_java8/css/login.css HTTP/1.1" 200 5167 5821C5BD01D178DFDE4ED0528C24B7B0 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-7
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:59 +0100] "GET /chox_java8/images/Valexa-Logo.gif HTTP/1.1" 200 13835 5821C5BD01D178DFDE4ED0528C24B7B0 7 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-9
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:59 +0100] "GET /chox_java8/images/chox_logo_small.jpg HTTP/1.1" 200 29480 5821C5BD01D178DFDE4ED0528C24B7B0 7 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:59 +0100] "POST /chox_java8/j_spring_security_check HTTP/1.1" 302 - 414ED8DFFD9E5EF506EB995CE970F28A 88 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-10
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:34:59 +0100] "GET /chox_java8/prv/inbox.action HTTP/1.1" 302 - 414ED8DFFD9E5EF506EB995CE970F28A 33 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-12
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/prv/inboxPage.action HTTP/1.1" 200 97581 414ED8DFFD9E5EF506EB995CE970F28A 242 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-13
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/prv/inboxPage.action HTTP/1.1" 200 97408 5620CA1DDEDD406098F9F4B19A42148A 1749 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-1
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/prv/inboxPage.action HTTP/1.1" 200 97371 D3EF6F9DBC16E3853B1759560604A3F3 1750 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-2
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/chox-1.17-min.css HTTP/1.1" 200 23421 414ED8DFFD9E5EF506EB995CE970F28A 4 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-11
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/chox-1.17-min.css HTTP/1.1" 200 23421 D3EF6F9DBC16E3853B1759560604A3F3 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-17
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/chox-1.17-min.css HTTP/1.1" 200 23421 5620CA1DDEDD406098F9F4B19A42148A 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-19
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/libs-1.17-min.css HTTP/1.1" 200 124074 D3EF6F9DBC16E3853B1759560604A3F3 8 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-3
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/libs-1.17-min.css HTTP/1.1" 200 124074 414ED8DFFD9E5EF506EB995CE970F28A 10 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/libs-1.17-min.css HTTP/1.1" 200 124074 5620CA1DDEDD406098F9F4B19A42148A 11 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-5
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/chox_panel_theme-1.17-min.css HTTP/1.1" 200 1160 D3EF6F9DBC16E3853B1759560604A3F3 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-4
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/chox_panel_theme-1.17-min.css HTTP/1.1" 200 1160 414ED8DFFD9E5EF506EB995CE970F28A 2 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-7
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/css/chox_panel_theme-1.17-min.css HTTP/1.1" 200 1160 5620CA1DDEDD406098F9F4B19A42148A 8 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-6
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/scripts/libs-1.17-min.js HTTP/1.1" 200 963434 414ED8DFFD9E5EF506EB995CE970F28A 35 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/scripts/libs-1.17-min.js HTTP/1.1" 200 963434 D3EF6F9DBC16E3853B1759560604A3F3 39 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-9
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/scripts/choxall-1.17-min.js HTTP/1.1" 200 36919 414ED8DFFD9E5EF506EB995CE970F28A 4 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-12
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/scripts/choxall-1.17-min.js HTTP/1.1" 200 36919 D3EF6F9DBC16E3853B1759560604A3F3 4 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-13
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/scripts/libs-1.17-min.js HTTP/1.1" 200 963434 5620CA1DDEDD406098F9F4B19A42148A 43 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-10
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:00 +0100] "GET /chox_java8/scripts/choxall-1.17-min.js HTTP/1.1" 200 36919 5620CA1DDEDD406098F9F4B19A42148A 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-2
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "GET /chox_java8/login.action HTTP/1.1" 200 3472 F6F54D5D6DE2472132B28C5FBF8C004D 20 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-19
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "GET /chox_java8/css/login.css HTTP/1.1" 200 5167 F6F54D5D6DE2472132B28C5FBF8C004D 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-3
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "GET /chox_java8/images/Valexa-Logo.gif HTTP/1.1" 200 13835 F6F54D5D6DE2472132B28C5FBF8C004D 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
