28 Jul 2017 11:59:00 INFO localhost-startStop-1  idas.chox.service.workflow.event.EventBusPostProcessor - Listener Bean registered to MBassador eventBus: baseActivityListener
28 Jul 2017 11:59:02 INFO localhost-startStop-1  idas.chox.service.workflow.event.EventBusPostProcessor - Listener Bean registered to MBassador eventBus: claimMatchingListener
28 Jul 2017 11:59:02 INFO localhost-startStop-1  idas.chox.service.workflow.event.EventBusPostProcessor - Listener Bean registered to MBassador eventBus: invoiceCreatedListener
28 Jul 2017 11:59:02 INFO localhost-startStop-1  idas.chox.service.workflow.event.EventBusPostProcessor - Listener Bean registered to MBassador eventBus: deadMessageHandler
28 Jul 2017 11:59:09 INFO localhost-startStop-1  idas.chox.core.hpi.Hpi - HPI I/F (singleton) utility class has been created.
28 Jul 2017 12:07:48 INFO catalina-exec-12  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'CHOX, Administrator (null)' logged-in successfully from IP address 2a02:17d8:1000:0:f4d5:5374:e51b:10a1 on browser 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36' with HTTP sessionId='49B5CB0BA3CFDB66BBF64E114F5B569F'.
28 Jul 2017 12:07:49 INFO catalina-exec-17 CHOX, Administrator 5 idas.chox.data.services.AccessibilityServiceImpl - AccessibilityMap loaded: 80 entries
28 Jul 2017 12:08:11 INFO catalina-exec-1  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Bennett, Ian (Direct Line Group)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='043EE4263D72DF760559D9503AB199B0'.
28 Jul 2017 12:08:11 INFO catalina-exec-2  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Dallas, Michael (Hertz Accident Support)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='8BAA534153C019F874721FAB316D4B48'.
28 Jul 2017 12:08:11 INFO catalina-exec-9  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Siddall, Ian (Enterprise Rent-A-Car UK Ltd)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='F94E6CD25F964F6AEFD0DFB3B6168844'.
28 Jul 2017 12:08:12 INFO catalina-exec-5  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Holdsworth, Gail (RSA)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='8D78765D0FCCCD1A1A2C31A11A7DF734'.
28 Jul 2017 12:08:12 INFO catalina-exec-7  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Webb, Humaira (RSA)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0' with HTTP sessionId='01210A550A3A3FDEFDD094B511FC9083'.
28 Jul 2017 12:08:13 INFO catalina-exec-4  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Turner, Jason (Enterprise Rent-A-Car UK Ltd)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='2E1673BCB95246F66AA2442BFFA0DD28'.
28 Jul 2017 12:08:33 INFO catalina-exec-1 Dallas, Michael 5013 idas.chox.data.services.AccessibilityServiceImpl - AccessibilityByClaimTypeMap loaded: 10235 entries
28 Jul 2017 12:08:35 INFO catalina-exec-11  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Simm, Zoe (Kindertons)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='D935834942057164C8A4B10B289CD725'.
28 Jul 2017 12:08:36 INFO catalina-exec-16  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Jenkins, Victoria (ERS Claims Limited)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0' with HTTP sessionId='5E8E1348BF9256BF6561B5CC504B2717'.
28 Jul 2017 12:08:41 INFO catalina-exec-11  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Aspinall, Janet (RSA)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='0987986E3696C0E9DC4704BEA3A9E460'.
